# x_m,y_m,w_tr_right_m,w_tr_left_m
29.048719958776317,-1.41017645173683,2.0,2.0
29.283963028607904,-1.5262130677175212,2.0,2.0
29.513772249191163,-1.6534476170020684,2.0,2.0
29.738283165318347,-1.7908697738437596,2.0,2.0
29.95763132178169,-1.9374692124958823,2.0,2.0
30.17195226337346,-2.092235607211725,2.0,2.0
30.381381534885904,-2.2541586322445752,2.0,2.0
30.586054681111253,-2.422227961847721,2.0,2.0
30.78610724684177,-2.59543327027445,2.0,2.0
30.9816747768697,-2.7727642317780496,2.0,2.0
31.172764015735087,-2.9535117782472797,2.0,2.0
31.358859252535048,-3.1381888398875994,2.0,2.0
31.53931232343336,-3.327618147986573,2.0,2.0
31.71347506458057,-3.5226224338626966,2.0,2.0
31.880699312127245,-3.7240244288344653,2.0,2.0
32.04033690222392,-3.9326468642203745,2.0,2.0
32.19171451184943,-4.149264532534784,2.0,2.0
32.33371881098899,-4.373813827901876,2.0,2.0
32.46486198787906,-4.6055175992069985,2.0,2.0
32.58364428354074,-4.843575930865257,2.0,2.0
32.688565938995175,-5.087188907291763,2.0,2.0
32.77812719526345,-5.335556612901624,2.0,2.0
32.85083267519491,-5.5878792444095255,2.0,2.0
32.906799246648816,-5.84339831791022,2.0,2.0
32.95015437902295,-6.101458135097586,2.0,2.0
32.98563867108369,-6.36141871123587,2.0,2.0
33.01791061030028,-6.622647296495156,2.0,2.0
33.04921342509322,-6.884723951857105,2.0,2.0
33.07904024032336,-7.147471052588777,2.0,2.0
33.106734746582525,-7.410724140755257,2.0,2.0
33.131640634462556,-7.674318758421633,2.0,2.0
33.15310159455528,-7.938090447652985,2.0,2.0
33.170473597349414,-8.20187696144164,2.0,2.0
33.183521088717825,-8.465589596504454,2.0,2.0
33.192502397610404,-8.729228570463622,2.0,2.0
33.197705407677944,-8.992799422101113,2.0,2.0
33.199418002571235,-9.256307690198888,2.0,2.0
33.19792806594108,-9.519758913538915,2.0,2.0
33.19352348143824,-9.783158630903161,2.0,2.0
33.186492132713525,-10.04651238107359,2.0,2.0
33.177121903417735,-10.309825702832171,2.0,2.0
33.165700677201656,-10.573104134960872,2.0,2.0
33.15251633771608,-10.836353216241655,2.0,2.0
33.1378567686118,-11.099578485456487,2.0,2.0
33.1220098535396,-11.362785481387334,2.0,2.0
33.10526347615028,-11.625979742816162,2.0,2.0
33.08790552009462,-11.88916680852494,2.0,2.0
33.07022386902343,-12.15235221729563,2.0,2.0
33.052503770704874,-12.415541464711865,2.0,2.0
33.034924296729116,-12.67873830628185,2.0,2.0
33.01752440881329,-12.941944201313772,2.0,2.0
33.000333482005665,-13.205160452004028,2.0,2.0
32.98338089135456,-13.468388360549017,2.0,2.0
32.96669601190825,-13.731629229145158,2.0,2.0
32.95030821871502,-13.99488435998885,2.0,2.0
32.93424688682318,-14.258155055276497,2.0,2.0
32.918541391281025,-14.521442617204505,2.0,2.0
32.903221107136844,-14.784748347969286,2.0,2.0
32.888315409438924,-15.048073549767237,2.0,2.0
32.87385367323556,-15.31141952479477,2.0,2.0
32.85986527357505,-15.574787575248289,2.0,2.0
32.84637958550569,-15.838179003324196,2.0,2.0
32.83342598407576,-16.101595111218902,2.0,2.0
32.82103384433358,-16.365037201128814,2.0,2.0
32.80923229846555,-16.6285065646088,2.0,2.0
32.79802727054711,-16.89200347629832,2.0,2.0
32.78738260212345,-17.15552636689649,2.0,2.0
32.777257692568014,-17.419073472458678,2.0,2.0
32.76761194125428,-17.682643029040275,2.0,2.0
32.758404747555694,-17.946233272696666,2.0,2.0
32.7495955108457,-18.209842439483236,2.0,2.0
32.74114363049779,-18.47346876545537,2.0,2.0
32.733008505885394,-18.737110486668456,2.0,2.0
32.725149536381984,-19.00076583917788,2.0,2.0
32.71752612136102,-19.26443305903902,2.0,2.0
32.710097660195956,-19.52811038230727,2.0,2.0
32.70282355226024,-19.79179604503801,2.0,2.0
32.69566319692735,-20.05548828328662,2.0,2.0
32.68857599357072,-20.319185333108496,2.0,2.0
32.68152134156384,-20.582885430559017,2.0,2.0
32.674458640280136,-20.846586811693573,2.0,2.0
32.66734728909308,-21.110287712567544,2.0,2.0
32.66014668737615,-21.37398636923632,2.0,2.0
32.65281623450276,-21.637681017755273,2.0,2.0
32.64531532984641,-21.901369894179805,2.0,2.0
32.63760337278053,-22.1650512345653,2.0,2.0
32.62963976267859,-22.42872327496713,2.0,2.0
32.621383898914054,-22.69238425144069,2.0,2.0
32.612795180860374,-22.956032400041366,2.0,2.0
32.603833007891005,-23.21966595682454,2.0,2.0
32.594456779379406,-23.483283157845595,2.0,2.0
32.58462589469905,-23.746882239159923,2.0,2.0
32.57429975322337,-24.0104614368229,2.0,2.0
32.56343775432584,-24.27401898688992,2.0,2.0
32.551999297379915,-24.537553125416363,2.0,2.0
